Stationscode;Datum;Uhrzeit;Feinstaub;Ozon;Stickstoffdioxid;Luftqualitätsindex;Temperatur-mean;Temperatur-min;Temperatur-max;Niederschlag;Schneefall;Windrichtung;Windgeschwindigkeit;Spitzenwindboe;Luftdruck;Sonnenminuten
DENW053;01.11.2020;01:00;13.0;45.0;9.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;02:00;13.0;33.0;13.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;03:00;13.0;28.0;13.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;04:00;13.0;41.0;7.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;05:00;13.0;46.0;7.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;06:00;13.0;42.0;11.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;07:00;13.0;44.0;9.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;08:00;13.0;56.0;6.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;09:00;13.0;35.0;20.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;10:00;13.0;34.0;20.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;11:00;13.0;50.0;10.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;12:00;12.0;56.0;9.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;13:00;12.0;47.0;17.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;14:00;12.0;36.0;22.0;gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;15:00;12.0;25.0;25.0;gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;16:00;12.0;28.0;16.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;17:00;12.0;34.0;12.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;18:00;11.0;33.0;13.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;19:00;11.0;33.0;12.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;20:00;10.0;34.0;10.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;21:00;10.0;34.0;10.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;22:00;10.0;29.0;13.0;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
DENW053;01.11.2020;23:00;10.0;;;sehr gut;15.5;12.8;18.2;2.3;0;214.4;30.5;63.0;1012.0;0
