Stationscode;Datum;Datum-Uhrzeit;Feinstaub;Ozon;NO2;LuftQualiIndex;tavg;tmin;tmax;prcp;snow;wdir;wspd;wpgt;pres;tsun
DENW053;01.11.2020;01.11.2020 01:00;13;45;9;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 02:00;13;33;13;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 03:00;13;28;13;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 04:00;13;41;7;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 05:00;13;46;7;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 06:00;13;42;11;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 07:00;13;44;9;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 08:00;13;56;6;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 09:00;13;35;20;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 10:00;13;34;20;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 11:00;13;50;10;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 12:00;12;56;9;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 13:00;12;47;17;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 14:00;12;36;22;gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 15:00;12;25;25;gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 16:00;12;28;16;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
DENW053;01.11.2020;01.11.2020 17:00;12;34;12;sehr gut;15,5;12,8;18,2;2,3;0;214,4;30,5;63;1012;0
